Last,First,State,Office,District,Activity
Mehta,Karishma,VA,State Delegate,49,No
Perryman,Sean,VA,Lt. Governor,,No
Carrol Foy,Jennifer,VA,Governor,,No
Bennett Parker,Elizabeth,VA,State Delegate,45,No
Adeli,Jennifer ,VA,State Delegate,34,No
Samirah,Ibraheem,VA,State Delegate,86,Yes
Helmer,Dan ,VA,State Delegate,40,Yes
Kinder,Hannah,VA,State Delegate,89,No
Liston,Beth,OH,State Representative,21,Yes
Brixie,Julie,MI,State Representative,69,Yes
Arreguin,Jesse,CA,Mayor of Berkeley,,Yes
Wilson-Anton,Madinah,DE,State Representative,26,No
Hansen,Anna,NM,Santa Fe County Comissioner,2,Yes
Maestas,Joseph,NM,Public Regulation Commission,,No
Hoffman,Jeff,MN,City of Spring Park Council Member,,Yes
Clark,Katharine,NM,Santa Fe County Clerk,,No
Cervantes,Joe,NM,State Senator,31,Yes
Ortiz y Pino,Gerald,NM,State Senator,12,Yes
Romero,Andrea,NM,State Representative,46,Yes
Carmack-Altwies,Mary,NM,District Attorney,1,No
Morrison,Kelly,MN,State Representative,33B,Yes
Hughes,Hank,NM,Santa Fe County Comissioner,5,No
Daley,Mary Jo,PA,State Representative,148,Yes
Peterson,Ronnie,MI,State Representative,54,Yes
Rabhi,Yousef,MI,State Representative,53,Yes
Schiller,Jill,OH,Hamilton County Treasurer,,No
Morrison,Eric,DE,State Representative,27,No
Stewart,Ann Johnson,MN,State Senator,44,No
Sachs,Melanie,ME,State Representative,48,No
Bahner,Kristin,MN,State Representative,34B,Yes
Jermaine,Jennifer,AZ,State Representative,18,Yes
Cwodzinski,Steve,MN,State Senator,48,Yes
Ward,Kyle,TN,Knox County Commissioner,4,No
Putnam,Aric,MN,State Senator,14,No
Durrett,Courtney,TN,Knox County Commissioner,2,No
Lee,Jeff,CA,Grover Beach Mayor,,Yes
Highberger,"Dennis ""boog""",KS,State Representative,46,Yes
Lambert,Larry,DE,State Representative,7,No
Lujan,Tara L.,NM,State Representative,48,Yes
Brady,Gerald,DE,State Representative,4,Yes
Crockett,Jasmine,TX,State Representative,100,No
Bentz,David,DE,State Representative,18,Yes
Evans Gay,Kyle,DE,State Senator,5,No
Pinkney,Marie,DE,State Senator,13,No
Forest,Mark,MA,Barnstable County Commissioner,,No
Gomez,Adam,MA,State Senate,Hampden,No
Miranda,Jessica,OH,State Representative,28,Yes
Provenza,Karlee,WY,State Representative,45,No*
Muzzall,Ron,WA,State Senate,10,Yes*
Walen,Amy,WA,State Representative,48,Yes*
Rhoads,Karl,HI,State Senate,13,Yes*
Gabbard,Mike,HI,State Senate,20,Yes*
Woodrow,Steven,CO,State Representative,6,Yes*
Giddens,Eric,IA,State Senate,30,Yes*
Morales,Eddie,TX,State Representative,74,No*
Aune,Ashley,MO,State Representative,14,No
Smith,Michael,DE,State Representative,22,Yes
Osienski,Ed,DE,State Representative,24,Yes
Baumbach,Paul,DE,State Representative,23,Yes
Pope,Harold,NM,State Senate,23,No
Sokola,David,DE,State Senate,8,Yes
johnson,gloria ,TN,State Representative,13,Yes
Sandell,Steve,MN,State Representative,53B,Yes
Uyterhoeven,Erika,MA,State Representative,27,No
Kennedy,Toni,NY,Town Board,,No*
Bradley,Dennis,CT,State Senate,23,Yes*
 de la Cruz,Joseph,CT,State Representative,23,Yes*
Haskell,Will,CT,State Senate,41,Yes*
Hughes,Anne,CT,State Representative,Hillsborough 25,Yes*
Salazar,Julia,NY,State Senate,135,Yes*
Pellegrino,Christine,NY,State Representative,18,Yes*
Cabrera,Jorge,CT,State Senate,9,No*
Maroney,James ,CT,State Senate,14,Yes*
Weston,Joyce,NH ,State Representative,14,No*
Gouveia,Tami,MA,State Representative,Grafton 8,No*
Biaggi,Alessandra,NY,State Senate,28,No*
Meskers,Stephen,CT,State Representative,18,No*
Galonski,Tavia,OH,State Representative,2,Yes*
Seymour,Patrick,VT,State Representative,96,No*
Rosario,Christopher ,CT,State Representative,Caledonia-4,Yes*
Duff,Bob,CT,State Senate,128,Yes*
Bolinsky,Mitch,CT,State Representative,25,Yes*
Murray,Brian,MA,State Representative,11,Yes*
Elliott,Joshua,CT,State Representative,139,Yes*
Tallman,Bill,NM,State Senate,12,Yes*
Gresko,Joseph,CT,State Representative,18,Yes*
Young,Philip,CT,State Representative,121,Yes*
Winkler,Michael,CT,State Representative,120,Yes*
Luxenberg,Geoff,CT,State Representative,56,No*
Conley,Christine,CT,State Representative,78,Yes*
Ryu,Cindy,WA,State Representative,46,Yes*
McLeod,Donna,GA,State Representative,32A,No*
Stonier,Monica,WA,State Representative,105,Yes*
Hufstetler,Chuck,GA,State Senate,17,Yes*
Comerford,Jo,MA,State Senate,92,No*
Turco,Gary,CT,State Representative,27,No*
Johansen,Chris,ME,State Representative,31,Yes*
Lowen,Nicole,HI,State Representative,145,Yes*
Raynor (now Darling),Taylor,NY,State Representative,6,No*
Gucker,Kenneth,CT,State Representative,18,No*
Bailey,Donna,ME,State Senate,31,Yes*
Jackson,Carolyn,IN,State Representative,38,No*
K.Y. Say,Calvin,HI,City Council ,5,Yes*
McDermott,Bob,HI,State Representative,40,Yes*
Perruso,Amy,HI,State Representative,20,No*
Ramone,Michael,DE,State Representative,21,Yes
Toomey,Lisa,MN,Eden Prairie City Council,,No
Cyr,Julian,MA,State Senate, Cape & Islands,Yes
Rehm,Lucille,MN,City Council,,No
McBride,Sarah,DE,State Senate,1,No
Fernandes,Dylan,MA,State Representative,"Barnstable, Dukes, and Nantucket",Yes
Filtz,Zach,VA,State Delegate,99,No
Carter,Lee,VA,Governor,,No
Wolf,Randall,VA,State Delegate,20,No
Clark,Nadarius,VA,State Delegate,79,No
Rasoul,Sam,VA,Lt. Governor,,No
Guzman,Guzman,VA,Lt. Governor,,No
Levine,Mark,VA,Lt. Governor,,No
